DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	11q24.2	11	127590676	intergenic	RN7SKP279 - AP003532.1	ENSG00000223315	ENSG00000254591		182528	66892	rs11822667-A	rs11822667	0	11822667	intergenic_variant	1	0.0546	4E-6	5.3979400086720375		1.6601	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	7p11.2	7	53914933	FLJ45974	HAUS6P3 - LINC02854	ENSG00000235454	ENSG00000238131		51594	11743	rs17736906-A	rs17736906	0	17736906	intergenic_variant	1	0.1558	2E-6	5.698970004336019		0.7446	[NR] unit decrease	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	3p26.3	3	2381443	CNTN4	CNTN4			ENSG00000144619			rs17013524-T	rs17013524	0	17013524	intron_variant	0	0.0578	9E-6	5.045757490560675		1.833	[NR] unit decrease	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	3q25.33	3	160508519	KPNA4	KPNA4			ENSG00000186432			rs17236529-T	rs17236529	0	17236529	intron_variant	0	0.0344	2E-9	8.698970004336019		1.7754	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	16p13.2	16	7879826	RBFOX1	AC093515.1			ENSG00000260289			rs9788927-A	rs9788927	0	9788927	intron_variant	0	0.1481	2E-6	5.698970004336019		1.019	[NR] unit decrease	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	Xq21.2	X	85840734	CHM	MIR1321 - SFR1P2	ENSG00000283435	ENSG00000223707		4876	8676	rs5967638-A	rs5967638	0	5967638	intergenic_variant	1	0.0665	1E-6	6.0		2.019	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	8q24.22	8	132022590	OC90	EFR3A - OC90	ENSG00000132294	ENSG00000253117		8948	1626	rs12542759-T	rs12542759	0	12542759	regulatory_region_variant	1	0.2881	4E-6	5.3979400086720375		0.8026	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	9p23	9	10275798	PTPRD	PTPRD			ENSG00000153707			rs10958998-A	rs10958998	0	10958998	intron_variant	0	0.0289	4E-6	5.3979400086720375		1.194	[NR] unit decrease	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	10q26.11	10	117433642	EMX2OS	AC005871.2			ENSG00000258114			rs758569-A	rs758569	0	758569	intron_variant	0	0.3616	4E-6	5.3979400086720375		0.8017	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	8q12.1	8	58073900	FAM110B	FAM110B			ENSG00000169122			rs13273891-A	rs13273891	0	13273891	intron_variant	0	0.1933	2E-6	5.698970004336019		0.953	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	6q24.2	6	142749368	HIVEP2	AL023584.1			ENSG00000233138			rs197480-T	rs197480	0	197480	intron_variant	0	0.0394	4E-6	5.3979400086720375		1.428	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2015-05-23	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Pit-and-Fissure caries	979 European ancestry individuals	NA	11p14.1	11	30543030	MPPED2	MPPED2			ENSG00000066382			rs7121800-T	rs7121800	0	7121800	intron_variant	0	0.3458	7E-6	5.154901959985743		0.7138	[NR] unit increase	Illumina [1216074] (imputed)	N	pit and fissure surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006338	GCST002358	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	4p15.32	4	16020917	NR	PROM1			ENSG00000007062			rs2677780-A	rs2677780	0	2677780	intron_variant	0	0.9356	2E-6	5.698970004336019		6.3471	[NR] unit decrease	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	20q13.11	20	43362961	NR	AL021395.2 - AL031681.2	ENSG00000252193	ENSG00000237555		58282	25681	rs2010809-C	rs2010809	0	2010809	intergenic_variant	1	0.9883	2E-6	5.698970004336019		14.0668	[NR] unit decrease	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	11q14.1	11	81524108	NR	AP003464.1 - MTND4LP18	ENSG00000287912	ENSG00000254747		92588	28118	rs2032381-G	rs2032381	0	2032381	intergenic_variant	1	0.9212	4E-6	5.3979400086720375		5.6947	[NR] unit decrease	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	8q21.3	8	89198871	intergenic	AC090578.1 - RPSAP74	ENSG00000253553	ENSG00000253621		311298	44530	rs2046315-T	rs2046315	0	2046315	intergenic_variant	1	0.1322	8E-8	7.096910013008056		5.187	[NR] unit increase	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	9q22.33	9	99472041	NR	STX17-AS1, AL359710.1			ENSG00000255145, ENSG00000237461			rs649057-T	rs649057	0	649057	intron_variant	0	0.05057	8E-6	5.096910013008056		6.806	[NR] unit increase	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	11q25	11	133251042	NR	OPCML			ENSG00000183715			rs2078454-A	rs2078454	0	2078454	intron_variant	0	0.2094	6E-6	5.221848749616356		3.603	[NR] unit decrease	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	4q31.22	4	145954399	NR	ZNF827 - AC108206.1	ENSG00000151612	ENSG00000201314		15576	3729	rs723794-G	rs723794	0	723794	regulatory_region_variant	1	0.2686	6E-7	6.221848749616356		3.645	[NR] unit increase	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	5q35.1	5	170813419	NR	GABRP			ENSG00000094755			rs11134654-A	rs11134654	0	11134654	3_prime_UTR_variant	0	0.1735	2E-7	6.698970004336019		4.6139	[NR] unit increase	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	2q35	2	218265791	CXCR2, AAMP, CXCR1	AAMP			ENSG00000127837			rs1079204-A	rs1079204	0	1079204	non_coding_transcript_exon_variant	0	0.0378	2E-6	5.698970004336019		8.4526	[NR] unit increase	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	8q21.3	8	88981259	NR	AC090578.1 - RPSAP74	ENSG00000253553	ENSG00000253621		93686	262142	rs10429371-C	rs10429371	0	10429371	intergenic_variant	1	.2142	3E-6	5.522878745280337		3.8	[NR] unit increase	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2013-06-21	23470693	Zeng Z	2013-03-07	J Dent Res	www.ncbi.nlm.nih.gov/pubmed/23470693	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.	Smooth-surface caries	982 European ancestry individuals	NA	1q32.2	1	210724921	NR	KCNH1			ENSG00000143473			rs1934620-A	rs1934620	0	1934620	intron_variant	0	.8656	8E-6	5.096910013008056		4.2462	[NR] unit decrease	Illumina [1200000] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST001896	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	3q25.33	3	160508519	KPNA4	KPNA4			ENSG00000186432			rs17236529-T	rs17236529	0	17236529	intron_variant	0	0.0346	3E-6	5.522878745280337		1.5126	[NR] unit increase	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	6p21.2	6	39339256	KIF6	KIF6			ENSG00000164627			rs9471075-A	rs9471075	0	9471075	intron_variant	0	0.0247	1E-6	6.0		5.25	[NR] unit decrease	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	8p21.3	8	19225642	SH2D4A	AC100849.1			ENSG00000253557			rs17128007-T	rs17128007	0	17128007	intron_variant	0	0.021	7E-6	5.154901959985743		4.7991	[NR] unit increase	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	8q22.3	8	101363039	FKSG17	NACA4P			ENSG00000228224			rs16867579-A	rs16867579	0	16867579	intron_variant	0	0.0155	1E-6	6.0		8.4163	[NR] unit decrease	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	12p11.23	12	26853027	ITPR2	ITPR2 - INTS13	ENSG00000123104	ENSG00000064102		19833	52154	rs7138744-A	rs7138744	0	7138744	intergenic_variant	1	0.3386	3E-6	5.522878745280337		1.4071	[NR] unit decrease	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	12q14.3	12	66239384	IRAK3	IRAK3			ENSG00000090376			rs17826057-A	rs17826057	0	17826057	intron_variant	0	0.0503	3E-7	6.522878745280337		2.65	[NR] unit increase	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	14q31.1	14	81132568	TSHR	TSHR, AC007262.2			ENSG00000165409, ENSG00000284959			rs17111530-T	rs17111530	0	17111530	intron_variant	0	0.0667	1E-6	6.0		2.529	[NR] unit decrease	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	16p11.2	16	30481502	ITGAL	AC116348.5, ITGAL			ENSG00000261346, ENSG00000005844			rs1064524-T	rs1064524	0	1064524	missense_variant	0	0.0485	2E-7	6.698970004336019		0.5404	[NR] unit increase	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	18q22.3	18	73854856	FBXO15	RN7SL401P - AC090125.1	ENSG00000241866	ENSG00000263655		109624	59549	rs17088439-T	rs17088439	0	17088439	intergenic_variant	1	0.0434	3E-6	5.522878745280337		2.2772	[NR] unit decrease	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	20p12.3	20	6205510	FERMT1	TARDBPP1 - AL109618.1	ENSG00000233402	ENSG00000234241		3319	8189	rs6076960-A	rs6076960	0	6076960	intergenic_variant	1	0.475	6E-6	5.221848749616356		1.2722	[NR] unit increase	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	20q11.21	20	33180849	BPIFA2, C20orf70	BPIFA2			ENSG00000131050			rs6120141-T	rs6120141	0	6120141	intron_variant	0	0.0252	3E-6	5.522878745280337		5.0772	[NR] unit decrease	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
2014-10-21	24556642	Zeng Z	2014-02-18	Caries Res	www.ncbi.nlm.nih.gov/pubmed/24556642	Genome-wide association study of primary dentition pit-and-fissure and smooth surface caries.	Smooth-surface caries	1006 European ancestry individuals	NA	7p21.3	7	7739693	LOC729852	AC007161.1, UMAD1, AC007161.3			ENSG00000234718, ENSG00000219545, ENSG00000283549			rs10486187-T	rs10486187	0	10486187	intron_variant	0	0.0897	5E-6	5.301029995663981		1.886	[NR] unit decrease	Illumina [1216189] (imputed)	N	smooth surface dental caries	http://www.ebi.ac.uk/efo/EFO_0006339	GCST002361	Genome-wide genotyping array
